,,,EV_01,AEL_01,PEMEL_01
period1,sc01,t0119, 10 ,,
period1,sc01,t0120, 10 ,,
period1,sc01,t0121, 10 ,,
period1,sc01,t0122, 10 ,,
period1,sc01,t0123, 10 ,,
period1,sc01,t0124, 10 ,,
period1,sc01,t0125, 10 ,,
period1,sc01,t0126, 10 ,,
period1,sc01,t0127, 10 ,,
period1,sc01,t0128, 10 ,,
period1,sc01,t0129, 35 ,,
period1,sc01,t0130, 10 ,,
period1,sc01,t0131, 10 ,,
period1,sc01,t0132, 10 ,,
period1,sc01,t0133, 10 ,,
period1,sc01,t0134, 10 ,,
period1,sc01,t0135, 10 ,,
period1,sc01,t0136, 10 ,,
period1,sc01,t0137, 10 ,,
period1,sc01,t0138, 25 ,,
period1,sc01,t0139, 10 ,,
period1,sc01,t0140, 10 ,,
period1,sc01,t0141, 10 ,,
period1,sc01,t0142, 10 ,,
period1,sc01,t0143, 10 ,,
period1,sc01,t0144, 10 ,,
period1,sc01,t0145, 10 ,,
period1,sc01,t0146, 10 ,,
period1,sc01,t0147, 10 ,,
period1,sc01,t0148, 10 ,,
period1,sc01,t0149, 10 ,,
period1,sc01,t0150, 10 ,,
period1,sc01,t0151, 10 ,,
period1,sc01,t0152, 10 ,,
period1,sc01,t0153, 35 ,,
period1,sc01,t0154, 10 ,,
period1,sc01,t0155, 10 ,,
period1,sc01,t0156, 10 ,,
period1,sc01,t0157, 10 ,,
period1,sc01,t0158, 10 ,,
period1,sc01,t0159, 10 ,,
period1,sc01,t0160, 10 ,,
period1,sc01,t0161, 10 ,,
period1,sc01,t0162, 25 ,,
period1,sc01,t0163, 10 ,,
period1,sc01,t0164, 10 ,,
period1,sc01,t0165, 10 ,,
period1,sc01,t0166, 10 ,,
period1,sc01,t0167, 10 ,,
period1,sc01,t0168, 10 ,,
period1,sc01,t0169, 10 ,,
period1,sc01,t0170, 10 ,,
period1,sc01,t0171, 10 ,,
period1,sc01,t0172, 10 ,,
period1,sc01,t0173, 10 ,,
period1,sc01,t0174, 10 ,,
period1,sc01,t0175, 40 ,,
period1,sc01,t0176, 10 ,,
period1,sc01,t0177, 10 ,,
period1,sc01,t0178, 10 ,,
period1,sc01,t0179, 10 ,,
period1,sc01,t0180, 10 ,,
period1,sc01,t0181, 10 ,,
period1,sc01,t0182, 10 ,,
period1,sc01,t0183, 10 ,,
period1,sc01,t0184, 10 ,,
period1,sc01,t0185, 10 ,,
period1,sc01,t0186, 25 ,,
period1,sc01,t0187, 10 ,,
period1,sc01,t0188, 10 ,,
period1,sc01,t0189, 10 ,,
period1,sc01,t0190, 10 ,,
period1,sc01,t0191, 10 ,,
period1,sc01,t0192, 10 ,,
period1,sc01,t0193, 10 ,,
period1,sc01,t0194, 10 ,,
period1,sc01,t0195, 10 ,,
period1,sc01,t0196, 10 ,,
period1,sc01,t0197, 10 ,,
period1,sc01,t0198, 10 ,,
period1,sc01,t0199, 10 ,,
period1,sc01,t0200, 10 ,,
period1,sc01,t0201, 30 ,,
period1,sc01,t0202, 10 ,,
period1,sc01,t0203, 10 ,,
period1,sc01,t0204, 10 ,,
period1,sc01,t0205, 10 ,,
period1,sc01,t0206, 10 ,,
period1,sc01,t0207, 10 ,,
period1,sc01,t0208, 10 ,,
period1,sc01,t0209, 10 ,,
period1,sc01,t0210, 25 ,,
period1,sc01,t0211, 10 ,,
period1,sc01,t0212, 10 ,,
period1,sc01,t0213, 10 ,,
period1,sc01,t0214, 10 ,,
period1,sc01,t0215, 10 ,,
period1,sc01,t0216, 10 ,,
period1,sc01,t0217, 10 ,,
period1,sc01,t0218, 10 ,,
period1,sc01,t0219, 10 ,,
period1,sc01,t0220, 10 ,,
period1,sc01,t0221, 10 ,,
period1,sc01,t0222, 10 ,,
period1,sc01,t0223, 10 ,,
period1,sc01,t0224, 10 ,,
period1,sc01,t0225, 30 ,,
period1,sc01,t0226, 10 ,,
period1,sc01,t0227, 10 ,,
period1,sc01,t0228, 10 ,,
period1,sc01,t0229, 10 ,,
period1,sc01,t0230, 10 ,,
period1,sc01,t0231, 10 ,,
period1,sc01,t0232, 10 ,,
period1,sc01,t0233, 10 ,,
period1,sc01,t0234, 25 ,,
period1,sc01,t0235, 10 ,,
period1,sc01,t0236, 10 ,,
period1,sc01,t0237, 10 ,,
period1,sc01,t0238, 10 ,,
period1,sc01,t0239, 10 ,,
period1,sc01,t0240, 10 ,,
period1,sc01,t0241, 10 ,,
period1,sc01,t0242, 10 ,,
period1,sc01,t0243, 10 ,,
period1,sc01,t0244, 10 ,,
period1,sc01,t0245, 10 ,,
period1,sc01,t0246, 10 ,,
period1,sc01,t0247, 10 ,,
period1,sc01,t0248, 10 ,,
period1,sc01,t0249, 10 ,,
period1,sc01,t0250, 10 ,,
period1,sc01,t0251, 10 ,,
period1,sc01,t0252, 10 ,,
period1,sc01,t0253, 10 ,,
period1,sc01,t0254, 10 ,,
period1,sc01,t0255, 10 ,,
period1,sc01,t0256, 10 ,,
period1,sc01,t0257, 10 ,,
period1,sc01,t0258, 10 ,,
period1,sc01,t0259, 10 ,,
period1,sc01,t0260, 10 ,,
period1,sc01,t0261, 10 ,,
period1,sc01,t0262, 10 ,,
period1,sc01,t0263, 10 ,,
period1,sc01,t0264, 10 ,,
period1,sc01,t0265, 10 ,,
period1,sc01,t0266, 10 ,,
period1,sc01,t0267, 10 ,,
period1,sc01,t0268, 10 ,,
period1,sc01,t0269, 10 ,,
period1,sc01,t0270, 10 ,,
period1,sc01,t0271, 35 ,,
period1,sc01,t0272, 10 ,,
period1,sc01,t0273, 10 ,,
period1,sc01,t0274, 10 ,,
period1,sc01,t0275, 10 ,,
period1,sc01,t0276, 10 ,,
period1,sc01,t0277, 10 ,,
period1,sc01,t0278, 10 ,,
period1,sc01,t0279, 10 ,,
period1,sc01,t0280, 10 ,,
period1,sc01,t0281, 10 ,,
period1,sc01,t0282, 10 ,,
period1,sc01,t0283, 10 ,,
period1,sc01,t0284, 10 ,,
period1,sc01,t0285, 10 ,,
period1,sc01,t0286, 10 ,,
period1,sc01,t0287, 10 ,,
period1,sc01,t0288, 10 ,,
period1,sc01,t0289, 10 ,,
period1,sc01,t0290, 10 ,,
period1,sc01,t0291, 10 ,,
period1,sc01,t0292, 10 ,,
period1,sc01,t0293, 10 ,,
period1,sc01,t0294, 10 ,,
period1,sc01,t0295, 10 ,,
period1,sc01,t0296, 10 ,,
period1,sc01,t0297, 10 ,,
period1,sc01,t0298, 10 ,,
period1,sc01,t0299, 10 ,,
period1,sc01,t0300, 10 ,,
period1,sc01,t0301, 10 ,,
period1,sc01,t0302, 10 ,,
period1,sc01,t0303, 10 ,,
period1,sc01,t0304, 10 ,,
period1,sc01,t0305, 10 ,,
period1,sc01,t0306, 10 ,,
period1,sc01,t0307, 25 ,,
period1,sc01,t0308, 10 ,,
period1,sc01,t0309, 10 ,,
period1,sc01,t0310, 10 ,,
period1,sc01,t0311, 10 ,,
period1,sc01,t0312, 10 ,,
period1,sc01,t0313, 10 ,,
period1,sc01,t0314, 10 ,,
period1,sc01,t0315, 10 ,,
period1,sc01,t0316, 10 ,,
period1,sc01,t0317, 10 ,,
period1,sc01,t0318, 10 ,,
period1,sc01,t0319, 10 ,,
period1,sc01,t0320, 10 ,,
period1,sc01,t0321, 30 ,,
period1,sc01,t0322, 10 ,,
period1,sc01,t0323, 10 ,,
period1,sc01,t0324, 10 ,,
period1,sc01,t0325, 10 ,,
period1,sc01,t0326, 10 ,,
period1,sc01,t0327, 10 ,,
period1,sc01,t0328, 25 ,,
period1,sc01,t0329, 10 ,,
period1,sc01,t0330, 10 ,,
period1,sc01,t0331, 10 ,,
period1,sc01,t0332, 10 ,,
period1,sc01,t0333, 10 ,,
period1,sc01,t0334, 10 ,,
period1,sc01,t0335, 10 ,,
period1,sc01,t0336, 10 ,,
period1,sc01,t0337, 10 ,,
period1,sc01,t0338, 10 ,,
period1,sc01,t0339, 10 ,,
period1,sc01,t0340, 10 ,,
period1,sc01,t0341, 10 ,,
period1,sc01,t0342, 10 ,,
period1,sc01,t0343, 10 ,,
period1,sc01,t0344, 30 ,,
period1,sc01,t0345, 10 ,,
period1,sc01,t0346, 10 ,,
period1,sc01,t0347, 10 ,,
period1,sc01,t0348, 10 ,,
period1,sc01,t0349, 10 ,,
period1,sc01,t0350, 10 ,,
period1,sc01,t0351, 10 ,,
period1,sc01,t0352, 10 ,,
period1,sc01,t0353, 10 ,,
period1,sc01,t0354, 25 ,,
period1,sc01,t0355, 10 ,,
period1,sc01,t0356, 10 ,,
period1,sc01,t0357, 10 ,,
period1,sc01,t0358, 10 ,,
period1,sc01,t0359, 10 ,,
period1,sc01,t0360, 10 ,,
period1,sc01,t0361, 10 ,,
period1,sc01,t0362, 10 ,,
period1,sc01,t0363, 10 ,,
period1,sc01,t0364, 10 ,,
period1,sc01,t0365, 10 ,,
period1,sc01,t0366, 10 ,,
period1,sc01,t0367, 10 ,,
period1,sc01,t0368, 10 ,,
period1,sc01,t0369, 30 ,,
period1,sc01,t0370, 10 ,,
period1,sc01,t0371, 10 ,,
period1,sc01,t0372, 10 ,,
period1,sc01,t0373, 10 ,,
period1,sc01,t0374, 10 ,,
period1,sc01,t0375, 10 ,,
period1,sc01,t0376, 10 ,,
period1,sc01,t0377, 10 ,,
period1,sc01,t0378, 25 ,,
period1,sc01,t0379, 10 ,,
period1,sc01,t0380, 10 ,,
period1,sc01,t0381, 10 ,,
period1,sc01,t0382, 10 ,,
period1,sc01,t0383, 10 ,,
period1,sc01,t0384, 10 ,,
period1,sc01,t0385, 10 ,,
period1,sc01,t0386, 10 ,,
period1,sc01,t0387, 10 ,,
period1,sc01,t0388, 10 ,,
period1,sc01,t0389, 10 ,,
period1,sc01,t0390, 10 ,,
period1,sc01,t0391, 35 ,,
period1,sc01,t0392, 10 ,,
period1,sc01,t0393, 10 ,,
period1,sc01,t0394, 10 ,,
period1,sc01,t0395, 10 ,,
period1,sc01,t0396, 10 ,,
period1,sc01,t0397, 10 ,,
period1,sc01,t0398, 10 ,,
period1,sc01,t0399, 10 ,,
period1,sc01,t0400, 10 ,,
period1,sc01,t0401, 25 ,,
period1,sc01,t0402, 10 ,,
period1,sc01,t0403, 10 ,,
period1,sc01,t0404, 10 ,,
period1,sc01,t0405, 10 ,,
period1,sc01,t0406, 10 ,,
period1,sc01,t0407, 10 ,,
period1,sc01,t0408, 10 ,,
period1,sc01,t0409, 10 ,,
period1,sc01,t0410, 10 ,,
period1,sc01,t0411, 10 ,,
period1,sc01,t0412, 10 ,,
period1,sc01,t0413, 10 ,,
period1,sc01,t0414, 10 ,,
period1,sc01,t0415, 10 ,,
period1,sc01,t0416, 10 ,,
period1,sc01,t0417, 10 ,,
period1,sc01,t0418, 10 ,,
period1,sc01,t0419, 10 ,,
period1,sc01,t0420, 10 ,,
period1,sc01,t0421, 10 ,,
period1,sc01,t0422, 10 ,,
period1,sc01,t0423, 10 ,,
period1,sc01,t0424, 10 ,,
period1,sc01,t0425, 10 ,,
period1,sc01,t0426, 10 ,,
period1,sc01,t0427, 10 ,,
period1,sc01,t0428, 10 ,,
period1,sc01,t0429, 10 ,,
period1,sc01,t0430, 10 ,,
period1,sc01,t0431, 10 ,,
period1,sc01,t0432, 10 ,,
period1,sc01,t0433, 10 ,,
period1,sc01,t0434, 10 ,,
period1,sc01,t0435, 10 ,,
period1,sc01,t0436, 10 ,,
period1,sc01,t0437, 10 ,,
period1,sc01,t0438, 10 ,,
period1,sc01,t0439, 10 ,,
period1,sc01,t0440, 10 ,,
period1,sc01,t0441, 10 ,,
period1,sc01,t0442, 10 ,,
period1,sc01,t0443, 10 ,,
period1,sc01,t0444, 10 ,,
period1,sc01,t0445, 10 ,,
period1,sc01,t0446, 10 ,,
period1,sc01,t0447, 10 ,,
period1,sc01,t0448, 10 ,,
period1,sc01,t0449, 10 ,,
period1,sc01,t0450, 10 ,,
period1,sc01,t0451, 10 ,,
period1,sc01,t0452, 10 ,,
period1,sc01,t0453, 10 ,,
period1,sc01,t0454, 10 ,,
period1,sc01,t0455, 10 ,,
period1,sc01,t0456, 10 ,,
period1,sc01,t0457, 10 ,,
period1,sc01,t0458, 10 ,,
period1,sc01,t0459, 10 ,,
period1,sc01,t0460, 10 ,,
period1,sc01,t0461, 10 ,,
period1,sc01,t0462, 10 ,,
period1,sc01,t0463, 10 ,,
period1,sc01,t0464, 35 ,,
period1,sc01,t0465, 10 ,,
period1,sc01,t0466, 10 ,,
period1,sc01,t0467, 10 ,,
period1,sc01,t0468, 10 ,,
period1,sc01,t0469, 10 ,,
period1,sc01,t0470, 10 ,,
period1,sc01,t0471, 10 ,,
period1,sc01,t0472, 10 ,,
period1,sc01,t0473, 10 ,,
period1,sc01,t0474, 25 ,,
period1,sc01,t0475, 10 ,,
period1,sc01,t0476, 10 ,,
period1,sc01,t0477, 10 ,,
period1,sc01,t0478, 10 ,,
period1,sc01,t0479, 10 ,,
period1,sc01,t0480, 10 ,,
period1,sc01,t0481, 10 ,,
period1,sc01,t0482, 10 ,,
period1,sc01,t0483, 10 ,,
period1,sc01,t0484, 10 ,,
period1,sc01,t0485, 10 ,,
period1,sc01,t0486, 10 ,,
period1,sc01,t0487, 30 ,,
period1,sc01,t0488, 10 ,,
period1,sc01,t0489, 10 ,,
period1,sc01,t0490, 10 ,,
period1,sc01,t0491, 10 ,,
period1,sc01,t0492, 10 ,,
period1,sc01,t0493, 10 ,,
period1,sc01,t0494, 10 ,,
period1,sc01,t0495, 10 ,,
period1,sc01,t0496, 10 ,,
period1,sc01,t0497, 10 ,,
period1,sc01,t0498, 25 ,,
period1,sc01,t0499, 10 ,,
period1,sc01,t0500, 10 ,,
period1,sc01,t0501, 10 ,,
period1,sc01,t0502, 10 ,,
period1,sc01,t0503, 10 ,,
period1,sc01,t0504, 10 ,,
period1,sc01,t0505, 10 ,,
period1,sc01,t0506, 10 ,,
period1,sc01,t0507, 10 ,,
period1,sc01,t0508, 10 ,,
period1,sc01,t0509, 10 ,,
period1,sc01,t0510, 10 ,,
period1,sc01,t0511, 30 ,,
period1,sc01,t0512, 10 ,,
period1,sc01,t0513, 10 ,,
period1,sc01,t0514, 10 ,,
period1,sc01,t0515, 10 ,,
period1,sc01,t0516, 10 ,,
period1,sc01,t0517, 10 ,,
period1,sc01,t0518, 10 ,,
period1,sc01,t0519, 10 ,,
period1,sc01,t0520, 10 ,,
period1,sc01,t0521, 10 ,,
period1,sc01,t0522, 10 ,,
period1,sc01,t0523, 25 ,,
period1,sc01,t0524, 10 ,,
period1,sc01,t0525, 10 ,,
period1,sc01,t0526, 10 ,,
period1,sc01,t0527, 10 ,,
period1,sc01,t0528, 10 ,,
period1,sc01,t0529, 10 ,,
period1,sc01,t0530, 10 ,,
period1,sc01,t0531, 10 ,,
period1,sc01,t0532, 10 ,,
period1,sc01,t0533, 10 ,,
period1,sc01,t0534, 10 ,,
period1,sc01,t0535, 10 ,,
period1,sc01,t0536, 40 ,,
period1,sc01,t0537, 10 ,,
period1,sc01,t0538, 10 ,,
period1,sc01,t0539, 10 ,,
period1,sc01,t0540, 10 ,,
period1,sc01,t0541, 10 ,,
period1,sc01,t0542, 10 ,,
period1,sc01,t0543, 10 ,,
period1,sc01,t0544, 10 ,,
period1,sc01,t0545, 10 ,,
period1,sc01,t0546, 10 ,,
period1,sc01,t0547, 10 ,,
period1,sc01,t0548, 25 ,,
period1,sc01,t0549, 10 ,,
period1,sc01,t0550, 10 ,,
period1,sc01,t0551, 10 ,,
period1,sc01,t0552, 10 ,,
period1,sc01,t0553, 10 ,,
period1,sc01,t0554, 10 ,,
period1,sc01,t0555, 10 ,,
period1,sc01,t0556, 10 ,,
period1,sc01,t0557, 10 ,,
period1,sc01,t0558, 10 ,,
period1,sc01,t0559, 35 ,,
period1,sc01,t0560, 10 ,,
period1,sc01,t0561, 10 ,,
period1,sc01,t0562, 10 ,,
period1,sc01,t0563, 10 ,,
period1,sc01,t0564, 10 ,,
period1,sc01,t0565, 10 ,,
period1,sc01,t0566, 10 ,,
period1,sc01,t0567, 10 ,,
period1,sc01,t0568, 10 ,,
period1,sc01,t0569, 25 ,,
period1,sc01,t0570, 10 ,,
period1,sc01,t0571, 10 ,,
period1,sc01,t0572, 10 ,,
period1,sc01,t0573, 10 ,,
period1,sc01,t0574, 10 ,,
period1,sc01,t0575, 10 ,,
period1,sc01,t0576, 10 ,,
period1,sc01,t0577, 10 ,,
period1,sc01,t0578, 10 ,,
period1,sc01,t0579, 10 ,,
period1,sc01,t0580, 10 ,,
period1,sc01,t0581, 10 ,,
period1,sc01,t0582, 10 ,,
period1,sc01,t0583, 10 ,,
period1,sc01,t0584, 10 ,,
period1,sc01,t0585, 10 ,,
period1,sc01,t0586, 10 ,,
period1,sc01,t0587, 10 ,,
period1,sc01,t0588, 10 ,,
period1,sc01,t0589, 10 ,,
period1,sc01,t0590, 10 ,,
period1,sc01,t0591, 10 ,,
period1,sc01,t0592, 10 ,,
period1,sc01,t0593, 10 ,,
period1,sc01,t0594, 10 ,,
period1,sc01,t0595, 10 ,,
period1,sc01,t0596, 10 ,,
period1,sc01,t0597, 10 ,,
period1,sc01,t0598, 10 ,,
period1,sc01,t0599, 10 ,,
period1,sc01,t0600, 10 ,,
period1,sc01,t0601, 10 ,,
period1,sc01,t0602, 10 ,,
period1,sc01,t0603, 10 ,,
period1,sc01,t0604, 10 ,,
period1,sc01,t0605, 10 ,,
period1,sc01,t0606, 10 ,,
period1,sc01,t0607, 10 ,,
period1,sc01,t0608, 10 ,,
period1,sc01,t0609, 10 ,,
period1,sc01,t0610, 10 ,,
period1,sc01,t0611, 10 ,,
period1,sc01,t0612, 10 ,,
period1,sc01,t0613, 10 ,,
period1,sc01,t0614, 10 ,,
period1,sc01,t0615, 10 ,,
period1,sc01,t0616, 10 ,,
period1,sc01,t0617, 10 ,,
period1,sc01,t0618, 10 ,,
period1,sc01,t0619, 10 ,,
period1,sc01,t0620, 10 ,,
period1,sc01,t0621, 10 ,,
period1,sc01,t0622, 10 ,,
period1,sc01,t0623, 10 ,,
period1,sc01,t0624, 10 ,,
period1,sc01,t0625, 10 ,,
period1,sc01,t0626, 10 ,,
period1,sc01,t0627, 10 ,,
period1,sc01,t0628, 10 ,,
period1,sc01,t0629, 10 ,,
period1,sc01,t0630, 10 ,,
period1,sc01,t0631, 30 ,,
period1,sc01,t0632, 10 ,,
period1,sc01,t0633, 10 ,,
period1,sc01,t0634, 10 ,,
period1,sc01,t0635, 10 ,,
period1,sc01,t0636, 10 ,,
period1,sc01,t0637, 10 ,,
period1,sc01,t0638, 10 ,,
period1,sc01,t0639, 10 ,,
period1,sc01,t0640, 10 ,,
period1,sc01,t0641, 25 ,,
period1,sc01,t0642, 10 ,,
period1,sc01,t0643, 10 ,,
period1,sc01,t0644, 10 ,,
period1,sc01,t0645, 10 ,,
period1,sc01,t0646, 10 ,,
period1,sc01,t0647, 10 ,,
period1,sc01,t0648, 10 ,,
period1,sc01,t0649, 10 ,,
period1,sc01,t0650, 10 ,,
period1,sc01,t0651, 10 ,,
period1,sc01,t0652, 10 ,,
period1,sc01,t0653, 10 ,,
period1,sc01,t0654, 10 ,,
period1,sc01,t0655, 30 ,,
period1,sc01,t0656, 10 ,,
period1,sc01,t0657, 10 ,,
period1,sc01,t0658, 10 ,,
period1,sc01,t0659, 10 ,,
period1,sc01,t0660, 10 ,,
period1,sc01,t0661, 10 ,,
period1,sc01,t0662, 10 ,,
period1,sc01,t0663, 10 ,,
period1,sc01,t0664, 10 ,,
period1,sc01,t0665, 10 ,,
period1,sc01,t0666, 10 ,,
period1,sc01,t0667, 25 ,,
period1,sc01,t0668, 10 ,,
period1,sc01,t0669, 10 ,,
period1,sc01,t0670, 10 ,,
period1,sc01,t0671, 10 ,,
period1,sc01,t0672, 10 ,,
period1,sc01,t0673, 10 ,,
period1,sc01,t0674, 10 ,,
period1,sc01,t0675, 10 ,,
period1,sc01,t0676, 10 ,,
period1,sc01,t0677, 10 ,,
period1,sc01,t0678, 10 ,,
period1,sc01,t0679, 10 ,,
period1,sc01,t0680, 10 ,,
period1,sc01,t0681, 10 ,,
period1,sc01,t0682, 30 ,,
period1,sc01,t0683, 10 ,,
period1,sc01,t0684, 10 ,,
period1,sc01,t0685, 10 ,,
period1,sc01,t0686, 10 ,,
period1,sc01,t0687, 10 ,,
period1,sc01,t0688, 10 ,,
period1,sc01,t0689, 10 ,,
period1,sc01,t0690, 25 ,,
period1,sc01,t0691, 10 ,,
period1,sc01,t0692, 10 ,,
period1,sc01,t0693, 10 ,,
period1,sc01,t0694, 10 ,,
period1,sc01,t0695, 10 ,,
period1,sc01,t0696, 10 ,,
period1,sc01,t0697, 10 ,,
period1,sc01,t0698, 10 ,,
period1,sc01,t0699, 10 ,,
period1,sc01,t0700, 10 ,,
period1,sc01,t0701, 10 ,,
period1,sc01,t0702, 10 ,,
period1,sc01,t0703, 10 ,,
period1,sc01,t0704, 10 ,,
period1,sc01,t0705, 40 ,,
period1,sc01,t0706, 10 ,,
period1,sc01,t0707, 10 ,,
period1,sc01,t0708, 10 ,,
period1,sc01,t0709, 10 ,,
period1,sc01,t0710, 10 ,,
period1,sc01,t0711, 10 ,,
period1,sc01,t0712, 10 ,,
period1,sc01,t0713, 10 ,,
period1,sc01,t0714, 25 ,,
period1,sc01,t0715, 10 ,,
period1,sc01,t0716, 10 ,,
period1,sc01,t0717, 10 ,,
period1,sc01,t0718, 10 ,,
period1,sc01,t0719, 10 ,,
period1,sc01,t0720, 10 ,,
period1,sc01,t0721, 10 ,,
period1,sc01,t0722, 10 ,,
period1,sc01,t0723, 10 ,,
period1,sc01,t0724, 10 ,,
period1,sc01,t0725, 10 ,,
period1,sc01,t0726, 10 ,,
period1,sc01,t0727, 10 ,,
period1,sc01,t0728, 35 ,,
period1,sc01,t0729, 10 ,,
period1,sc01,t0730, 10 ,,
period1,sc01,t0731, 10 ,,
period1,sc01,t0732, 10 ,,
period1,sc01,t0733, 10 ,,
period1,sc01,t0734, 10 ,,
period1,sc01,t0735, 10 ,,
period1,sc01,t0736, 10 ,,
period1,sc01,t0737, 25 ,,
period1,sc01,t0738, 10 ,,
period1,sc01,t0739, 10 ,,
period1,sc01,t0740, 10 ,,
period1,sc01,t0741, 10 ,,
period1,sc01,t0742, 10 ,,
period1,sc01,t0743, 10 ,,
period1,sc01,t0744, 10 ,,
period1,sc01,t0745, 10 ,,
period1,sc01,t0746, 10 ,,
period1,sc01,t0747, 10 ,,
period1,sc01,t0748, 10 ,,
period1,sc01,t0749, 10 ,,
period1,sc01,t0750, 10 ,,
period1,sc01,t0751, 10 ,,
period1,sc01,t0752, 10 ,,
period1,sc01,t0753, 10 ,,
period1,sc01,t0754, 10 ,,
period1,sc01,t0755, 10 ,,
period1,sc01,t0756, 10 ,,
period1,sc01,t0757, 10 ,,
period1,sc01,t0758, 10 ,,
period1,sc01,t0759, 10 ,,
period1,sc01,t0760, 10 ,,
period1,sc01,t0761, 10 ,,
period1,sc01,t0762, 10 ,,
period1,sc01,t0763, 10 ,,
period1,sc01,t0764, 10 ,,
period1,sc01,t0765, 10 ,,
period1,sc01,t0766, 10 ,,
period1,sc01,t0767, 10 ,,
period1,sc01,t0768, 10 ,,
period1,sc01,t0769, 10 ,,
period1,sc01,t0770, 10 ,,
period1,sc01,t0771, 10 ,,
period1,sc01,t0772, 10 ,,
period1,sc01,t0773, 10 ,,
period1,sc01,t0774, 10 ,,
period1,sc01,t0775, 10 ,,
