,,,EV_01,AEL_01,PEMEL_01
period1,sc01,t0119, 0 ,,
period1,sc01,t0120, 0 ,,
period1,sc01,t0121, 0 ,,
period1,sc01,t0122, 0 ,,
period1,sc01,t0123, 0 ,,
period1,sc01,t0124, 0 ,,
period1,sc01,t0125, 0 ,,
period1,sc01,t0126, 0 ,,
period1,sc01,t0127, 2.5194504795 ,,
period1,sc01,t0128, 2.5194504795 ,,
period1,sc01,t0129, 2.5194504795 ,,
period1,sc01,t0130, 2.5194504795 ,,
period1,sc01,t0131, 2.5194504795 ,,
period1,sc01,t0132, 2.5194504795 ,,
period1,sc01,t0133, 2.5194504795 ,,
period1,sc01,t0134, 2.5194504795 ,,
period1,sc01,t0135, 2.5194504795 ,,
period1,sc01,t0136, 2.5194504795 ,,
period1,sc01,t0137, 2.5194504795 ,,
period1,sc01,t0138, 0 ,,
period1,sc01,t0139, 0 ,,
period1,sc01,t0140, 0 ,,
period1,sc01,t0141, 0 ,,
period1,sc01,t0142, 0 ,,
period1,sc01,t0143, 0 ,,
period1,sc01,t0144, 0 ,,
period1,sc01,t0145, 0 ,,
period1,sc01,t0146, 0 ,,
period1,sc01,t0147, 0 ,,
period1,sc01,t0148, 0 ,,
period1,sc01,t0149, 0 ,,
period1,sc01,t0150, 0 ,,
period1,sc01,t0151, 0 ,,
period1,sc01,t0152, 0.4052149005 ,,
period1,sc01,t0153, 0.4052149005 ,,
period1,sc01,t0154, 0.4052149005 ,,
period1,sc01,t0155, 0.4052149005 ,,
period1,sc01,t0156, 0.4052149005 ,,
period1,sc01,t0157, 0.4052149005 ,,
period1,sc01,t0158, 0.4052149005 ,,
period1,sc01,t0159, 0.4052149005 ,,
period1,sc01,t0160, 0.4052149005 ,,
period1,sc01,t0161, 0.4052149005 ,,
period1,sc01,t0162, 0 ,,
period1,sc01,t0163, 0 ,,
period1,sc01,t0164, 0 ,,
period1,sc01,t0165, 0 ,,
period1,sc01,t0166, 0 ,,
period1,sc01,t0167, 0 ,,
period1,sc01,t0168, 0 ,,
period1,sc01,t0169, 0 ,,
period1,sc01,t0170, 0 ,,
period1,sc01,t0171, 0 ,,
period1,sc01,t0172, 0 ,,
period1,sc01,t0173, 0 ,,
period1,sc01,t0174, 0 ,,
period1,sc01,t0175, 0 ,,
period1,sc01,t0176, 0 ,,
period1,sc01,t0177, 0.4669371 ,,
period1,sc01,t0178, 0.4669371 ,,
period1,sc01,t0179, 0.4669371 ,,
period1,sc01,t0180, 0.4669371 ,,
period1,sc01,t0181, 0.4669371 ,,
period1,sc01,t0182, 0.4669371 ,,
period1,sc01,t0183, 0.4669371 ,,
period1,sc01,t0184, 0.4669371 ,,
period1,sc01,t0185, 0.4669371 ,,
period1,sc01,t0186, 0 ,,
period1,sc01,t0187, 0 ,,
period1,sc01,t0188, 0 ,,
period1,sc01,t0189, 0 ,,
period1,sc01,t0190, 0 ,,
period1,sc01,t0191, 0 ,,
period1,sc01,t0192, 0 ,,
period1,sc01,t0193, 0 ,,
period1,sc01,t0194, 0 ,,
period1,sc01,t0195, 0 ,,
period1,sc01,t0196, 0 ,,
period1,sc01,t0197, 0 ,,
period1,sc01,t0198, 0 ,,
period1,sc01,t0199, 0 ,,
period1,sc01,t0200, 0.5183088795 ,,
period1,sc01,t0201, 0.5183088795 ,,
period1,sc01,t0202, 0.5183088795 ,,
period1,sc01,t0203, 0.5183088795 ,,
period1,sc01,t0204, 0.5183088795 ,,
period1,sc01,t0205, 0.5183088795 ,,
period1,sc01,t0206, 0.5183088795 ,,
period1,sc01,t0207, 0.5183088795 ,,
period1,sc01,t0208, 0.5183088795 ,,
period1,sc01,t0209, 0 ,,
period1,sc01,t0210, 0 ,,
period1,sc01,t0211, 0 ,,
period1,sc01,t0212, 0 ,,
period1,sc01,t0213, 0 ,,
period1,sc01,t0214, 0 ,,
period1,sc01,t0215, 0 ,,
period1,sc01,t0216, 0 ,,
period1,sc01,t0217, 0 ,,
period1,sc01,t0218, 0 ,,
period1,sc01,t0219, 0 ,,
period1,sc01,t0220, 0 ,,
period1,sc01,t0221, 0 ,,
period1,sc01,t0222, 0 ,,
period1,sc01,t0223, 0.7968539895 ,,
period1,sc01,t0224, 0.7968539895 ,,
period1,sc01,t0225, 0.7968539895 ,,
period1,sc01,t0226, 0.7968539895 ,,
period1,sc01,t0227, 0.7968539895 ,,
period1,sc01,t0228, 0.7968539895 ,,
period1,sc01,t0229, 0.7968539895 ,,
period1,sc01,t0230, 0.7968539895 ,,
period1,sc01,t0231, 0.7968539895 ,,
period1,sc01,t0232, 0.7968539895 ,,
period1,sc01,t0233, 0 ,,
period1,sc01,t0234, 0 ,,
period1,sc01,t0235, 0 ,,
period1,sc01,t0236, 0 ,,
period1,sc01,t0237, 0 ,,
period1,sc01,t0238, 0 ,,
period1,sc01,t0239, 0 ,,
period1,sc01,t0240, 0 ,,
period1,sc01,t0241, 0 ,,
period1,sc01,t0242, 0 ,,
period1,sc01,t0243, 0 ,,
period1,sc01,t0244, 0 ,,
period1,sc01,t0245, 0 ,,
period1,sc01,t0246, 0 ,,
period1,sc01,t0247, 0 ,,
period1,sc01,t0248, 2.491786308 ,,
period1,sc01,t0249, 2.491786308 ,,
period1,sc01,t0250, 2.491786308 ,,
period1,sc01,t0251, 2.491786308 ,,
period1,sc01,t0252, 2.491786308 ,,
period1,sc01,t0253, 2.491786308 ,,
period1,sc01,t0254, 2.491786308 ,,
period1,sc01,t0255, 2.491786308 ,,
period1,sc01,t0256, 2.491786308 ,,
period1,sc01,t0257, 2.491786308 ,,
period1,sc01,t0258, 0 ,,
period1,sc01,t0259, 0 ,,
period1,sc01,t0260, 0 ,,
period1,sc01,t0261, 0 ,,
period1,sc01,t0262, 0 ,,
period1,sc01,t0263, 0 ,,
period1,sc01,t0264, 0 ,,
period1,sc01,t0265, 0 ,,
period1,sc01,t0266, 0 ,,
period1,sc01,t0267, 0 ,,
period1,sc01,t0268, 0 ,,
period1,sc01,t0269, 0 ,,
period1,sc01,t0270, 0 ,,
period1,sc01,t0271, 0 ,,
period1,sc01,t0272, 0 ,,
period1,sc01,t0273, 0.634209429 ,,
period1,sc01,t0274, 0.634209429 ,,
period1,sc01,t0275, 0.634209429 ,,
period1,sc01,t0276, 0.634209429 ,,
period1,sc01,t0277, 0.634209429 ,,
period1,sc01,t0278, 0.634209429 ,,
period1,sc01,t0279, 0.634209429 ,,
period1,sc01,t0280, 0.634209429 ,,
period1,sc01,t0281, 0.634209429 ,,
period1,sc01,t0282, 0 ,,
period1,sc01,t0283, 0 ,,
period1,sc01,t0284, 0 ,,
period1,sc01,t0285, 0 ,,
period1,sc01,t0286, 0 ,,
period1,sc01,t0287, 0 ,,
period1,sc01,t0288, 0 ,,
period1,sc01,t0289, 0 ,,
period1,sc01,t0290, 0 ,,
period1,sc01,t0291, 0 ,,
period1,sc01,t0292, 0 ,,
period1,sc01,t0293, 0 ,,
period1,sc01,t0294, 0 ,,
period1,sc01,t0295, 0 ,,
period1,sc01,t0296, 0 ,,
period1,sc01,t0297, 1.9014295515 ,,
period1,sc01,t0298, 1.9014295515 ,,
period1,sc01,t0299, 1.9014295515 ,,
period1,sc01,t0300, 1.9014295515 ,,
period1,sc01,t0301, 1.9014295515 ,,
period1,sc01,t0302, 1.9014295515 ,,
period1,sc01,t0303, 1.9014295515 ,,
period1,sc01,t0304, 1.9014295515 ,,
period1,sc01,t0305, 1.9014295515 ,,
period1,sc01,t0306, 0 ,,
period1,sc01,t0307, 0 ,,
period1,sc01,t0308, 0 ,,
period1,sc01,t0309, 0 ,,
period1,sc01,t0310, 0 ,,
period1,sc01,t0311, 0 ,,
period1,sc01,t0312, 0 ,,
period1,sc01,t0313, 0 ,,
period1,sc01,t0314, 0 ,,
period1,sc01,t0315, 0 ,,
period1,sc01,t0316, 0 ,,
period1,sc01,t0317, 0 ,,
period1,sc01,t0318, 0 ,,
period1,sc01,t0319, 3.201383337 ,,
period1,sc01,t0320, 3.201383337 ,,
period1,sc01,t0321, 3.201383337 ,,
period1,sc01,t0322, 3.201383337 ,,
period1,sc01,t0323, 3.201383337 ,,
period1,sc01,t0324, 3.201383337 ,,
period1,sc01,t0325, 3.201383337 ,,
period1,sc01,t0326, 3.201383337 ,,
period1,sc01,t0327, 3.201383337 ,,
period1,sc01,t0328, 0 ,,
period1,sc01,t0329, 0 ,,
period1,sc01,t0330, 0 ,,
period1,sc01,t0331, 0 ,,
period1,sc01,t0332, 0 ,,
period1,sc01,t0333, 0 ,,
period1,sc01,t0334, 0 ,,
period1,sc01,t0335, 0 ,,
period1,sc01,t0336, 0 ,,
period1,sc01,t0337, 0 ,,
period1,sc01,t0338, 0 ,,
period1,sc01,t0339, 0 ,,
period1,sc01,t0340, 0 ,,
period1,sc01,t0341, 0 ,,
period1,sc01,t0342, 0 ,,
period1,sc01,t0343, 0 ,,
period1,sc01,t0344, 0 ,,
period1,sc01,t0345, 1.190527119 ,,
period1,sc01,t0346, 1.190527119 ,,
period1,sc01,t0347, 1.190527119 ,,
period1,sc01,t0348, 1.190527119 ,,
period1,sc01,t0349, 1.190527119 ,,
period1,sc01,t0350, 1.190527119 ,,
period1,sc01,t0351, 1.190527119 ,,
period1,sc01,t0352, 1.190527119 ,,
period1,sc01,t0353, 1.190527119 ,,
period1,sc01,t0354, 0 ,,
period1,sc01,t0355, 0 ,,
period1,sc01,t0356, 0 ,,
period1,sc01,t0357, 0 ,,
period1,sc01,t0358, 0 ,,
period1,sc01,t0359, 0 ,,
period1,sc01,t0360, 0 ,,
period1,sc01,t0361, 0 ,,
period1,sc01,t0362, 0 ,,
period1,sc01,t0363, 0 ,,
period1,sc01,t0364, 0 ,,
period1,sc01,t0365, 0 ,,
period1,sc01,t0366, 0 ,,
period1,sc01,t0367, 0 ,,
period1,sc01,t0368, 1.531961544 ,,
period1,sc01,t0369, 1.531961544 ,,
period1,sc01,t0370, 1.531961544 ,,
period1,sc01,t0371, 1.531961544 ,,
period1,sc01,t0372, 1.531961544 ,,
period1,sc01,t0373, 1.531961544 ,,
period1,sc01,t0374, 1.531961544 ,,
period1,sc01,t0375, 1.531961544 ,,
period1,sc01,t0376, 1.531961544 ,,
period1,sc01,t0377, 1.531961544 ,,
period1,sc01,t0378, 1.531961544 ,,
period1,sc01,t0379, 0 ,,
period1,sc01,t0380, 0 ,,
period1,sc01,t0381, 0 ,,
period1,sc01,t0382, 0 ,,
period1,sc01,t0383, 0 ,,
period1,sc01,t0384, 0 ,,
period1,sc01,t0385, 0 ,,
period1,sc01,t0386, 0 ,,
period1,sc01,t0387, 0 ,,
period1,sc01,t0388, 0 ,,
period1,sc01,t0389, 0 ,,
period1,sc01,t0390, 0 ,,
period1,sc01,t0391, 0 ,,
period1,sc01,t0392, 0.609015981 ,,
period1,sc01,t0393, 0.609015981 ,,
period1,sc01,t0394, 0.609015981 ,,
period1,sc01,t0395, 0.609015981 ,,
period1,sc01,t0396, 0.609015981 ,,
period1,sc01,t0397, 0.609015981 ,,
period1,sc01,t0398, 0.609015981 ,,
period1,sc01,t0399, 0.609015981 ,,
period1,sc01,t0400, 0 ,,
period1,sc01,t0401, 0 ,,
period1,sc01,t0402, 0 ,,
period1,sc01,t0403, 0 ,,
period1,sc01,t0404, 0 ,,
period1,sc01,t0405, 0 ,,
period1,sc01,t0406, 0 ,,
period1,sc01,t0407, 0 ,,
period1,sc01,t0408, 0 ,,
period1,sc01,t0409, 0 ,,
period1,sc01,t0410, 0 ,,
period1,sc01,t0411, 0 ,,
period1,sc01,t0412, 0 ,,
period1,sc01,t0413, 0 ,,
period1,sc01,t0414, 0 ,,
period1,sc01,t0415, 0 ,,
period1,sc01,t0416, 0 ,,
period1,sc01,t0417, 0 ,,
period1,sc01,t0418, 0.8505405915 ,,
period1,sc01,t0419, 0.8505405915 ,,
period1,sc01,t0420, 0.8505405915 ,,
period1,sc01,t0421, 0.8505405915 ,,
period1,sc01,t0422, 0.8505405915 ,,
period1,sc01,t0423, 0.8505405915 ,,
period1,sc01,t0424, 0.8505405915 ,,
period1,sc01,t0425, 0.8505405915 ,,
period1,sc01,t0426, 0.8505405915 ,,
period1,sc01,t0427, 0 ,,
period1,sc01,t0428, 0 ,,
period1,sc01,t0429, 0 ,,
period1,sc01,t0430, 0 ,,
period1,sc01,t0431, 0 ,,
period1,sc01,t0432, 0 ,,
period1,sc01,t0433, 0 ,,
period1,sc01,t0434, 0 ,,
period1,sc01,t0435, 0 ,,
period1,sc01,t0436, 0 ,,
period1,sc01,t0437, 0 ,,
period1,sc01,t0438, 0 ,,
period1,sc01,t0439, 1.1108648925 ,,
period1,sc01,t0440, 1.1108648925 ,,
period1,sc01,t0441, 1.1108648925 ,,
period1,sc01,t0442, 1.1108648925 ,,
period1,sc01,t0443, 1.1108648925 ,,
period1,sc01,t0444, 1.1108648925 ,,
period1,sc01,t0445, 1.1108648925 ,,
period1,sc01,t0446, 1.1108648925 ,,
period1,sc01,t0447, 1.1108648925 ,,
period1,sc01,t0448, 1.1108648925 ,,
period1,sc01,t0449, 1.1108648925 ,,
period1,sc01,t0450, 0 ,,
period1,sc01,t0451, 0 ,,
period1,sc01,t0452, 0 ,,
period1,sc01,t0453, 0 ,,
period1,sc01,t0454, 0 ,,
period1,sc01,t0455, 0 ,,
period1,sc01,t0456, 0 ,,
period1,sc01,t0457, 0 ,,
period1,sc01,t0458, 0 ,,
period1,sc01,t0459, 0 ,,
period1,sc01,t0460, 0 ,,
period1,sc01,t0461, 0 ,,
period1,sc01,t0462, 0 ,,
period1,sc01,t0463, 0 ,,
period1,sc01,t0464, 0.84839517 ,,
period1,sc01,t0465, 0.84839517 ,,
period1,sc01,t0466, 0.84839517 ,,
period1,sc01,t0467, 0.84839517 ,,
period1,sc01,t0468, 0.84839517 ,,
period1,sc01,t0469, 0.84839517 ,,
period1,sc01,t0470, 0.84839517 ,,
period1,sc01,t0471, 0.84839517 ,,
period1,sc01,t0472, 0.84839517 ,,
period1,sc01,t0473, 0.84839517 ,,
period1,sc01,t0474, 0.84839517 ,,
period1,sc01,t0475, 0 ,,
period1,sc01,t0476, 0 ,,
period1,sc01,t0477, 0 ,,
period1,sc01,t0478, 0 ,,
period1,sc01,t0479, 0 ,,
period1,sc01,t0480, 0 ,,
period1,sc01,t0481, 0 ,,
period1,sc01,t0482, 0 ,,
period1,sc01,t0483, 0 ,,
period1,sc01,t0484, 0 ,,
period1,sc01,t0485, 0 ,,
period1,sc01,t0486, 0 ,,
period1,sc01,t0487, 0 ,,
period1,sc01,t0488, 0 ,,
period1,sc01,t0489, 1.177976043 ,,
period1,sc01,t0490, 1.177976043 ,,
period1,sc01,t0491, 1.177976043 ,,
period1,sc01,t0492, 1.177976043 ,,
period1,sc01,t0493, 1.177976043 ,,
period1,sc01,t0494, 1.177976043 ,,
period1,sc01,t0495, 1.177976043 ,,
period1,sc01,t0496, 1.177976043 ,,
period1,sc01,t0497, 1.177976043 ,,
period1,sc01,t0498, 0 ,,
period1,sc01,t0499, 0 ,,
period1,sc01,t0500, 0 ,,
period1,sc01,t0501, 0 ,,
period1,sc01,t0502, 0 ,,
period1,sc01,t0503, 0 ,,
period1,sc01,t0504, 0 ,,
period1,sc01,t0505, 0 ,,
period1,sc01,t0506, 0 ,,
period1,sc01,t0507, 0 ,,
period1,sc01,t0508, 0 ,,
period1,sc01,t0509, 0 ,,
period1,sc01,t0510, 0 ,,
period1,sc01,t0511, 0 ,,
period1,sc01,t0512, 0 ,,
period1,sc01,t0513, 0.4498878615 ,,
period1,sc01,t0514, 0.4498878615 ,,
period1,sc01,t0515, 0.4498878615 ,,
period1,sc01,t0516, 0.4498878615 ,,
period1,sc01,t0517, 0.4498878615 ,,
period1,sc01,t0518, 0.4498878615 ,,
period1,sc01,t0519, 0.4498878615 ,,
period1,sc01,t0520, 0 ,,
period1,sc01,t0521, 0 ,,
period1,sc01,t0522, 0 ,,
period1,sc01,t0523, 0 ,,
period1,sc01,t0524, 0 ,,
period1,sc01,t0525, 0 ,,
period1,sc01,t0526, 0 ,,
period1,sc01,t0527, 0 ,,
period1,sc01,t0528, 0 ,,
period1,sc01,t0529, 0 ,,
period1,sc01,t0530, 0 ,,
period1,sc01,t0531, 0 ,,
period1,sc01,t0532, 0 ,,
period1,sc01,t0533, 0 ,,
period1,sc01,t0534, 0 ,,
period1,sc01,t0535, 0 ,,
period1,sc01,t0536, 0.1263059715 ,,
period1,sc01,t0537, 0.1263059715 ,,
period1,sc01,t0538, 0.1263059715 ,,
period1,sc01,t0539, 0.1263059715 ,,
period1,sc01,t0540, 0.1263059715 ,,
period1,sc01,t0541, 0.1263059715 ,,
period1,sc01,t0542, 0.1263059715 ,,
period1,sc01,t0543, 0.1263059715 ,,
period1,sc01,t0544, 0.1263059715 ,,
period1,sc01,t0545, 0.1263059715 ,,
period1,sc01,t0546, 0.1263059715 ,,
period1,sc01,t0547, 0 ,,
period1,sc01,t0548, 0 ,,
period1,sc01,t0549, 0 ,,
period1,sc01,t0550, 0 ,,
period1,sc01,t0551, 0 ,,
period1,sc01,t0552, 0 ,,
period1,sc01,t0553, 0 ,,
period1,sc01,t0554, 0 ,,
period1,sc01,t0555, 0 ,,
period1,sc01,t0556, 0 ,,
period1,sc01,t0557, 0 ,,
period1,sc01,t0558, 1.1738266185 ,,
period1,sc01,t0559, 1.1738266185 ,,
period1,sc01,t0560, 1.1738266185 ,,
period1,sc01,t0561, 1.1738266185 ,,
period1,sc01,t0562, 1.1738266185 ,,
period1,sc01,t0563, 1.1738266185 ,,
period1,sc01,t0564, 1.1738266185 ,,
period1,sc01,t0565, 1.1738266185 ,,
period1,sc01,t0566, 1.1738266185 ,,
period1,sc01,t0567, 1.1738266185 ,,
period1,sc01,t0568, 1.1738266185 ,,
period1,sc01,t0569, 0 ,,
period1,sc01,t0570, 0 ,,
period1,sc01,t0571, 0 ,,
period1,sc01,t0572, 0 ,,
period1,sc01,t0573, 0 ,,
period1,sc01,t0574, 0 ,,
period1,sc01,t0575, 0 ,,
period1,sc01,t0576, 0 ,,
period1,sc01,t0577, 0 ,,
period1,sc01,t0578, 0 ,,
period1,sc01,t0579, 0 ,,
period1,sc01,t0580, 0 ,,
period1,sc01,t0581, 0 ,,
period1,sc01,t0582, 0 ,,
period1,sc01,t0583, 0 ,,
period1,sc01,t0584, 0 ,,
period1,sc01,t0585, 1.207359189 ,,
period1,sc01,t0586, 1.207359189 ,,
period1,sc01,t0587, 1.207359189 ,,
period1,sc01,t0588, 1.207359189 ,,
period1,sc01,t0589, 1.207359189 ,,
period1,sc01,t0590, 1.207359189 ,,
period1,sc01,t0591, 1.207359189 ,,
period1,sc01,t0592, 1.207359189 ,,
period1,sc01,t0593, 1.207359189 ,,
period1,sc01,t0594, 0 ,,
period1,sc01,t0595, 0 ,,
period1,sc01,t0596, 0 ,,
period1,sc01,t0597, 0 ,,
period1,sc01,t0598, 0 ,,
period1,sc01,t0599, 0 ,,
period1,sc01,t0600, 0 ,,
period1,sc01,t0601, 0 ,,
period1,sc01,t0602, 0 ,,
period1,sc01,t0603, 0 ,,
period1,sc01,t0604, 0 ,,
period1,sc01,t0605, 0 ,,
period1,sc01,t0606, 0 ,,
period1,sc01,t0607, 0 ,,
period1,sc01,t0608, 0 ,,
period1,sc01,t0609, 1.362500361 ,,
period1,sc01,t0610, 1.362500361 ,,
period1,sc01,t0611, 1.362500361 ,,
period1,sc01,t0612, 1.362500361 ,,
period1,sc01,t0613, 1.362500361 ,,
period1,sc01,t0614, 1.362500361 ,,
period1,sc01,t0615, 1.362500361 ,,
period1,sc01,t0616, 1.362500361 ,,
period1,sc01,t0617, 1.362500361 ,,
period1,sc01,t0618, 0 ,,
period1,sc01,t0619, 0 ,,
period1,sc01,t0620, 0 ,,
period1,sc01,t0621, 0 ,,
period1,sc01,t0622, 0 ,,
period1,sc01,t0623, 0 ,,
period1,sc01,t0624, 0 ,,
period1,sc01,t0625, 0 ,,
period1,sc01,t0626, 0 ,,
period1,sc01,t0627, 0 ,,
period1,sc01,t0628, 0 ,,
period1,sc01,t0629, 0 ,,
period1,sc01,t0630, 0 ,,
period1,sc01,t0631, 2.0423905905 ,,
period1,sc01,t0632, 2.0423905905 ,,
period1,sc01,t0633, 2.0423905905 ,,
period1,sc01,t0634, 2.0423905905 ,,
period1,sc01,t0635, 2.0423905905 ,,
period1,sc01,t0636, 2.0423905905 ,,
period1,sc01,t0637, 2.0423905905 ,,
period1,sc01,t0638, 2.0423905905 ,,
period1,sc01,t0639, 2.0423905905 ,,
period1,sc01,t0640, 2.0423905905 ,,
period1,sc01,t0641, 2.0423905905 ,,
period1,sc01,t0642, 2.0423905905 ,,
period1,sc01,t0643, 0 ,,
period1,sc01,t0644, 0 ,,
period1,sc01,t0645, 0 ,,
period1,sc01,t0646, 0 ,,
period1,sc01,t0647, 0 ,,
period1,sc01,t0648, 0 ,,
period1,sc01,t0649, 0 ,,
period1,sc01,t0650, 0 ,,
period1,sc01,t0651, 0 ,,
period1,sc01,t0652, 0 ,,
period1,sc01,t0653, 0 ,,
period1,sc01,t0654, 0 ,,
period1,sc01,t0655, 0 ,,
period1,sc01,t0656, 0.851651613 ,,
period1,sc01,t0657, 0.851651613 ,,
period1,sc01,t0658, 0.851651613 ,,
period1,sc01,t0659, 0.851651613 ,,
period1,sc01,t0660, 0.851651613 ,,
period1,sc01,t0661, 0.851651613 ,,
period1,sc01,t0662, 0.851651613 ,,
period1,sc01,t0663, 0.851651613 ,,
period1,sc01,t0664, 0.851651613 ,,
period1,sc01,t0665, 0.851651613 ,,
period1,sc01,t0666, 0.851651613 ,,
period1,sc01,t0667, 0.851651613 ,,
period1,sc01,t0668, 0 ,,
period1,sc01,t0669, 0 ,,
period1,sc01,t0670, 0 ,,
period1,sc01,t0671, 0 ,,
period1,sc01,t0672, 0 ,,
period1,sc01,t0673, 0 ,,
period1,sc01,t0674, 0 ,,
period1,sc01,t0675, 0 ,,
period1,sc01,t0676, 0 ,,
period1,sc01,t0677, 0 ,,
period1,sc01,t0678, 0 ,,
period1,sc01,t0679, 1.337845371 ,,
period1,sc01,t0680, 1.337845371 ,,
period1,sc01,t0681, 1.337845371 ,,
period1,sc01,t0682, 1.337845371 ,,
period1,sc01,t0683, 1.337845371 ,,
period1,sc01,t0684, 1.337845371 ,,
period1,sc01,t0685, 1.337845371 ,,
period1,sc01,t0686, 1.337845371 ,,
period1,sc01,t0687, 1.337845371 ,,
period1,sc01,t0688, 0 ,,
period1,sc01,t0689, 0 ,,
period1,sc01,t0690, 0 ,,
period1,sc01,t0691, 0 ,,
period1,sc01,t0692, 0 ,,
period1,sc01,t0693, 0 ,,
period1,sc01,t0694, 0 ,,
period1,sc01,t0695, 0 ,,
period1,sc01,t0696, 0 ,,
period1,sc01,t0697, 0 ,,
period1,sc01,t0698, 0 ,,
period1,sc01,t0699, 0 ,,
period1,sc01,t0700, 0 ,,
period1,sc01,t0701, 0 ,,
period1,sc01,t0702, 0 ,,
period1,sc01,t0703, 0 ,,
period1,sc01,t0704, 0 ,,
period1,sc01,t0705, 3.445780026 ,,
period1,sc01,t0706, 3.445780026 ,,
